song_id	genius_url	artist_name	song_name
31540	A-tribe-called-quest-footprints-lyrics	A tribe called quest	footprints
31542	A-tribe-called-quest-word-play-lyrics	A tribe called quest	word play
31543	A-tribe-called-quest-pubic-enemy-lyrics	A tribe called quest	pubic enemy
31544	A-tribe-called-quest-description-of-a-fool-lyrics	A tribe called quest	description of a fool
31545	A-tribe-called-quest-youthful-expression-lyrics	A tribe called quest	youthful expression
31546	A-tribe-called-quest-motivators-lyrics	A tribe called quest	motivators
31547	A-tribe-called-quest-mind-power-lyrics	A tribe called quest	mind power
31549	A-tribe-called-quest-mr-muhammad-lyrics	A tribe called quest	mr muhammad
31551	A-tribe-called-quest-baby-phifes-return-lyrics	A tribe called quest	baby phifes return
31552	A-tribe-called-quest-the-pressure-lyrics	A tribe called quest	the pressure
31554	A-tribe-called-quest-da-booty-lyrics	A tribe called quest	da booty
31555	A-tribe-called-quest-bustas-lament-lyrics	A tribe called quest	bustas lament
31556	A-tribe-called-quest-go-ahead-in-the-rain-lyrics	A tribe called quest	go ahead in the rain
31557	A-tribe-called-quest-the-love-lyrics	A tribe called quest	the love
31558	A-tribe-called-quest-crew-lyrics	A tribe called quest	crew
31559	Paramore-hard-times-lyrics	Paramore	hard times
31560	Paramore-rose-colored-boy-lyrics	Paramore	rose colored boy
31561	Paramore-26-lyrics	Paramore	26
31562	Paramore-still-into-you-lyrics	Paramore	still into you
31563	Paramore-misery-business-lyrics	Paramore	misery business
31564	Paramore-the-only-exception-lyrics	Paramore	the only exception
31565	Paramore-aint-it-fun-lyrics	Paramore	aint it fun
31566	Paramore-told-you-so-lyrics	Paramore	told you so
31567	Paramore-fake-happy-lyrics	Paramore	fake happy
31568	Paramore-pool-lyrics	Paramore	pool
31569	Paramore-tell-me-how-lyrics	Paramore	tell me how
31570	Paramore-no-friend-lyrics	Paramore	no friend
31571	Paramore-idle-worship-lyrics	Paramore	idle worship
31572	Paramore-caught-in-the-middle-lyrics	Paramore	caught in the middle
31573	Paramore-forgiveness-lyrics	Paramore	forgiveness
31574	Paramore-decode-lyrics	Paramore	decode
31575	Paramore-last-hope-lyrics	Paramore	last hope
31576	Paramore-ignorance-lyrics	Paramore	ignorance
31577	Paramore-thats-what-you-get-lyrics	Paramore	thats what you get
31578	Paramore-grudges-lyrics	Paramore	grudges
31579	Paramore-brick-by-boring-brick-lyrics	Paramore	brick by boring brick
31580	Paramore-hate-to-see-your-heart-break-lyrics	Paramore	hate to see your heart break
31581	Paramore-crushcrushcrush-lyrics	Paramore	crushcrushcrush
31582	Paramore-misguided-ghosts-lyrics	Paramore	misguided ghosts
31583	Paramore-part-ii-lyrics	Paramore	part ii
31584	Paramore-all-i-wanted-lyrics	Paramore	all i wanted
31585	Paramore-playing-god-lyrics	Paramore	playing god
31586	Paramore-grow-up-lyrics	Paramore	grow up
31587	Paramore-my-heart-lyrics	Paramore	my heart
31588	Paramore-when-it-rains-lyrics	Paramore	when it rains
31589	Paramore-turn-it-off-lyrics	Paramore	turn it off
31590	Paramore-for-a-pessimist-im-pretty-optimistic-lyrics	Paramore	for a pessimist im pretty optimistic
31594	Paramore-monster-lyrics	Paramore	monster
31595	Paramore-let-the-flames-begin-lyrics	Paramore	let the flames begin
31596	Paramore-fast-in-my-car-lyrics	Paramore	fast in my car
31597	Paramore-careful-lyrics	Paramore	careful
